,Date,User,Tweet
104,2019-03-01 08:51:12+00:00,ARYNEWSOFFICIAL,"The departure of Dosti bus from Lahore today was another effort of Pakistan to keep the doors of peace opened.

#ARYNews"
105,2019-03-01 08:41:41+00:00,ARYNEWSOFFICIAL,"Expressing his views in the joint session of the Parliament, he contended despite tensions with India, country’s economic indicators remained positive.

#ARYNews #JointSession"
106,2019-03-01 08:32:21+00:00,ARYNEWSOFFICIAL,"The Foreign Office in its statement said Foreign Minister Shah Mehmood Qureshi will not participate in the OIC Council of Foreign Ministers since, “India has been invited to the inaugural plenary.”

#ARYNews"
107,2019-03-01 07:48:47+00:00,ARYNEWSOFFICIAL,"The foreign minister said Pakistan never wanted escalation as Prime Minister Imran Khan has said several times that we will take two steps, if India takes one
#ARYNews #Abhinandan
https://t.co/TK7TgHwIvU"
108,2019-03-01 07:32:33+00:00,ARYNEWSOFFICIAL,"PM Imran Khan will be briefed about the ongoing development schemes in the province, while matters pertaining to tensions with India will also come under discussion.
#ARYNews #PMImranKhan 
https://t.co/ldhISX3sr3"
109,2019-03-01 07:00:18+00:00,ARYNEWSOFFICIAL,"Pakistan's political powers are united: Asad Umar
#ARYNews"
110,2019-03-01 06:48:10+00:00,ARYNEWSOFFICIAL,"Pakistan’s airspace to remain close till Friday noon
#ARYNews https://t.co/iiFm6owCXf"
111,2019-03-01 06:25:01+00:00,ARYNEWSOFFICIAL,"Pakistan decides not to attend Foreign Ministers' session of OIC - FM Shah Mahmood Qureshi
#ARYNews"
112,2019-03-01 06:23:44+00:00,ARYNEWSOFFICIAL,"UN chief welcomes Pakistan’s decision of releasing captured Indian pilot 
#ARYNews https://t.co/7LqJzvH2zT"
113,2019-03-01 05:51:03+00:00,Dawn_News,"https://t.co/JfiYyg0qsA
#dawnnews #pakistan #india #PakistanStrikesBack#PakistanAirForceOurPride #Budgam#PakistanZindabaad #SayNoToWar https://t.co/pB5rA9iVjk"
114,2019-03-01 05:49:54+00:00,ARYNEWSOFFICIAL,"Foreign Minister Shah Mehmood Qureshi said Pakistan desires for peace in the region and decision to release Indian fighter pilot is a gesture to de-escalate the situation between the two neighbours in the South Asia.

#ARYNews #Abinandan #Pakistan"
115,2019-03-01 05:45:33+00:00,ARYNEWSOFFICIAL,"Pakistan will release captured Indian pilot Abhinandan Varthaman today as a gesture of peace in order to de-escalate the soaring tensions with New Delhi.

#ARYNews #Abinandan #PakistanLeadsWithPeace"
116,2019-02-28 19:55:46+00:00,ARYNEWSOFFICIAL,"Federal #Railways Minister #SheikhRasheed said that Pakistan Railways was facing a severe financial crisis and termed lack of investment as key issue being faced by the department
#ARYNews 

https://t.co/YqbH9DNi46"
117,2019-02-28 18:08:59+00:00,ARYNEWSOFFICIAL,"Pakistan Meteorological Department (#PMD) has #forecasted a new #rain spell and #snowfalls in #Pakistan from Friday and it will likely to persist till Monday
#ARYNews 

https://t.co/Unq7u2QL5X"
118,2019-02-28 16:45:16+00:00,ARYNEWSOFFICIAL,"Pakistan Muslim League-Nawaz (#PMLN) senior leader #KhwajaMuhammadAsif hailed #PrimeMinister #ImranKhan’s decision to release the captured #Indianpilot, #Abhinandan, as a gesture of peace
#ARYNews 

https://t.co/3ZBwQFWQXr"
119,2019-02-28 16:16:24+00:00,ARYNEWSOFFICIAL,"#Afghan refugees holding valid Proof of Registration (PoR) card were allowed to open #bankaccounts in #Pakistan, said #StateBank of Pakistan (SBP)
#ARYNews 

https://t.co/nt0BTHG9Dc"
120,2019-02-28 15:08:05+00:00,ARYNEWSOFFICIAL,"#India’s economy lost momentum in the approach to a general #election, with the annual growth rate slipping to 6.6 percent in the October-December quarter, dragged down by weaker consumer demand
#ARYNews 

https://t.co/ZhvFrmeZWI"
121,2019-02-28 14:22:08+00:00,ARYNEWSOFFICIAL,"“This is going to be a step towards goodwill and I hope this will be lasting,” he said
#ARYNews #Abhinandan
https://t.co/tCL3rAPhmO"
122,2019-02-28 13:54:34+00:00,ARYNEWSOFFICIAL,"#Breaking #ARYNews #Abhinandan

Indian pilot Abhinandan will be sent to India through Wagah border

Watch Live: https://t.co/nMYh5IFs5l https://t.co/bb4NCLLD6g"
123,2019-02-28 13:40:43+00:00,ARYNEWSOFFICIAL,"PM #ImranKhan announces release of Indian pilot Abhinandan as ‘peace gesture’

Details here: https://t.co/cv2mFk9tI4

#ARYNews #Abhinanadan"
124,2019-02-28 13:24:24+00:00,ARYNEWSOFFICIAL,"This Indian anchor has become a laughing stock in Pakistan
#ARYNews 
https://t.co/sw6nOR537p"
125,2019-02-28 12:19:28+00:00,ARYNEWSOFFICIAL,"India has asked Alphabet’s YouTube to take down some videos showing an Indian pilot captured by Pakistan 
#ARYNews #Abhinandan 
https://t.co/0d08P1Awmo"
126,2019-02-28 12:13:55+00:00,ARYNEWSOFFICIAL,"As a gesture of peace, the prime minister announced to release the captured pilot of Indian Air Force, Abhinandan, tomorrow
#ARYNews #Abhinandan #LetBetterSensePrevail
https://t.co/mvE0uIMdio"
127,2019-02-28 12:10:52+00:00,ARYNEWSOFFICIAL,"As per statement released by the military’s media wing, here today, troops of Pakistan Army are on high alert along the LoC to deal with any Indian aggression
#ARYNews #ISPR 
https://t.co/6ALtIdn9C4"
128,2019-02-28 11:49:50+00:00,ARYNEWSOFFICIAL,"“Wars are no solution to any issue as you have to sit on the table in the end,” Shehbaz Sharif said while addressing the joint session of the parliament over escalating tension between Pakistan and India.

#ARYNews #ShehbazSharif #JointSession"
